Imports completed. Initializing device...
Device used: cuda
============================================================
Lambda CATE密集扫描 (基于最终PARAMS)
============================================================

>>> lambda_cate = 0
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5635
    [Fine-tune Seed=42] Ep 100/100 Loss=1.6065
  Seed 42: AUC=0.7914, CATE=0.1744, PEHE=0.1215
    [Pre-train Seed=43] Ep 50/200 Loss=1.5087
    [Pre-train Seed=43] Ep 100/200 Loss=1.4183
    [Pre-train Seed=43] Ep 150/200 Loss=1.4022
    [Pre-train Seed=43] Ep 200/200 Loss=1.3842
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7482
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7263
    [Fine-tune Seed=43] Ep 60/100 Loss=1.6859
    [Fine-tune Seed=43] Ep 80/100 Loss=1.5753
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6451
  Seed 43: AUC=0.7876, CATE=0.1508, PEHE=0.1201
    [Pre-train Seed=44] Ep 50/200 Loss=1.5016
    [Pre-train Seed=44] Ep 100/200 Loss=1.4209
    [Pre-train Seed=44] Ep 150/200 Loss=1.4048
    [Pre-train Seed=44] Ep 200/200 Loss=1.3903
    [Fine-tune Seed=44] Ep 20/100 Loss=1.8176
    [Fine-tune Seed=44] Ep 40/100 Loss=1.7277
    [Fine-tune Seed=44] Ep 60/100 Loss=1.7227
    [Fine-tune Seed=44] Ep 80/100 Loss=1.6087
    [Fine-tune Seed=44] Ep 100/100 Loss=1.7195
  Seed 44: AUC=0.7876, CATE=0.1841, PEHE=0.1193
  平均: AUC=0.7888±0.0022, CATE=0.1697±0.0171

>>> lambda_cate = 2.5
    [Pre-train Seed=42] Ep 50/200 Loss=1.5317
    [Pre-train Seed=42] Ep 100/200 Loss=1.4196
    [Pre-train Seed=42] Ep 150/200 Loss=1.4021
    [Pre-train Seed=42] Ep 200/200 Loss=1.3840
    [Fine-tune Seed=42] Ep 20/100 Loss=1.7683
    [Fine-tune Seed=42] Ep 40/100 Loss=1.6085
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6492
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5624
    [Fine-tune Seed=42] Ep 100/100 Loss=1.6044
  Seed 42: AUC=0.7879, CATE=0.1822, PEHE=0.1209
    [Pre-train Seed=43] Ep 50/200 Loss=1.5086
    [Pre-train Seed=43] Ep 100/200 Loss=1.4190
    [Pre-train Seed=43] Ep 150/200 Loss=1.4034
    [Pre-train Seed=43] Ep 200/200 Loss=1.3851
