Script started...

[Seed 42] Loading data...
Training w/o HGNN teacher for distillation (Seed 42)
[Full DLC (SOTA)] Val@Ep60 | score=1003.6871 AUC=0.7900 Acc=0.8185 F1=0.5434 PEHE=0.0225 dCATE=0.1454 Sens=0.0442 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 60/65 | loss_total=2.1361 recon=0.0086 hsic=0.0205 pred=0.2976 distill=0.3844
[Full DLC (SOTA)] Val@Ep64 | score=1003.6589 AUC=0.7899 Acc=0.8029 F1=0.5426 PEHE=0.0210 dCATE=0.1586 Sens=0.0473 thr=0.15 feasible=1
[Full DLC (SOTA)] Early stop at epoch 64 (best_epoch=16, best_score=1003.8038)
[Full DLC (SOTA)] Restored best checkpoint at epoch 16 (score=1003.8038, thr=0.23)
[w/o VAE] Epoch 5/45 | loss_total=1.4619 recon=0.0433 hsic=0.0239 pred=0.3481 distill=0.0000
[w/o VAE] Val@Ep8 | score=1003.7665 AUC=0.7966 Acc=0.8396 F1=0.5789 PEHE=0.0633 dCATE=0.1163 Sens=0.0078 thr=0.32 feasible=1
[w/o VAE] Epoch 10/45 | loss_total=1.4075 recon=0.0159 hsic=0.0231 pred=0.3446 distill=0.0000
[w/o VAE] Val@Ep12 | score=1003.7966 AUC=0.7963 Acc=0.8486 F1=0.5776 PEHE=0.0650 dCATE=0.1392 Sens=0.0087 thr=0.31 feasible=1
[w/o VAE] Epoch 15/45 | loss_total=1.3931 recon=0.0119 hsic=0.0221 pred=0.3431 distill=0.0000
[w/o VAE] Val@Ep16 | score=1003.7817 AUC=0.7969 Acc=0.8363 F1=0.5788 PEHE=0.0478 dCATE=0.1339 Sens=0.0111 thr=0.25 feasible=1
[w/o VAE] Val@Ep20 | score=1003.7923 AUC=0.7955 Acc=0.8396 F1=0.5765 PEHE=0.0448 dCATE=0.1502 Sens=0.0168 thr=0.32 feasible=1
[w/o VAE] Epoch 20/45 | loss_total=1.3556 recon=0.0106 hsic=0.0220 pred=0.3341 distill=0.0000
[w/o VAE] Val@Ep24 | score=1003.7820 AUC=0.7947 Acc=0.8352 F1=0.5723 PEHE=0.0504 dCATE=0.1649 Sens=0.0150 thr=0.28 feasible=1
[w/o VAE] Epoch 25/45 | loss_total=1.3311 recon=0.0079 hsic=0.0214 pred=0.3286 distill=0.0000
[w/o VAE] Val@Ep28 | score=1003.7379 AUC=0.7935 Acc=0.8252 F1=0.5651 PEHE=0.0551 dCATE=0.1621 Sens=0.0204 thr=0.22 feasible=1
[w/o VAE] Epoch 30/45 | loss_total=1.3046 recon=0.0078 hsic=0.0215 pred=0.3219 distill=0.0000
[w/o VAE] Val@Ep32 | score=1003.7393 AUC=0.7936 Acc=0.8252 F1=0.5602 PEHE=0.0516 dCATE=0.1750 Sens=0.0250 thr=0.25 feasible=1
[w/o VAE] Epoch 35/45 | loss_total=1.2798 recon=0.0077 hsic=0.0211 pred=0.3163 distill=0.0000
[w/o VAE] Val@Ep36 | score=1003.6878 AUC=0.7895 Acc=0.8073 F1=0.5530 PEHE=0.0435 dCATE=0.1738 Sens=0.0287 thr=0.18 feasible=1
[w/o VAE] Val@Ep40 | score=1003.7094 AUC=0.7879 Acc=0.8318 F1=0.5438 PEHE=0.0351 dCATE=0.1406 Sens=0.0331 thr=0.28 feasible=1
[w/o VAE] Epoch 40/45 | loss_total=1.2575 recon=0.0076 hsic=0.0210 pred=0.3108 distill=0.0000
[w/o VAE] Val@Ep44 | score=1003.7092 AUC=0.7883 Acc=0.8352 F1=0.5404 PEHE=0.0448 dCATE=0.1554 Sens=0.0382 thr=0.37 feasible=1
[w/o VAE] Epoch 45/45 | loss_total=1.2359 recon=0.0066 hsic=0.0209 pred=0.3056 distill=0.0000
[w/o VAE] Restored best checkpoint at epoch 12 (score=1003.7966, thr=0.31)

[Seed 43] Loading data...
Training w/o HGNN teacher for distillation (Seed 43)
[w/o HGNN (Teacher)] Epoch 5/45 | loss_total=1.6072 recon=0.2304 hsic=0.0162 pred=0.3422 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep8 | score=1003.8986 AUC=0.8046 Acc=0.8641 F1=0.5933 PEHE=0.0392 dCATE=0.1751 Sens=0.0212 thr=0.30 feasible=1
[w/o HGNN (Teacher)] Epoch 10/45 | loss_total=1.3819 recon=0.0672 hsic=0.0184 pred=0.3275 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep12 | score=1003.8524 AUC=0.7994 Acc=0.8541 F1=0.5919 PEHE=0.0443 dCATE=0.1752 Sens=0.0326 thr=0.28 feasible=1
[w/o HGNN (Teacher)] Epoch 15/45 | loss_total=1.2934 recon=0.0420 hsic=0.0205 pred=0.3107 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep16 | score=1003.8151 AUC=0.7910 Acc=0.8563 F1=0.5931 PEHE=0.0639 dCATE=0.1786 Sens=0.0504 thr=0.31 feasible=1
[w/o HGNN (Teacher)] Val@Ep20 | score=1003.6798 AUC=0.7862 Acc=0.8396 F1=0.5583 PEHE=0.0827 dCATE=0.1727 Sens=0.0788 thr=0.30 feasible=1
[w/o HGNN (Teacher)] Epoch 20/45 | loss_total=1.2141 recon=0.0316 hsic=0.0216 pred=0.2920 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep24 | score=1003.6001 AUC=0.7545 Acc=0.8508 F1=0.5442 PEHE=0.0888 dCATE=0.1604 Sens=0.1082 thr=0.40 feasible=1
[w/o HGNN (Teacher)] Epoch 25/45 | loss_total=1.0836 recon=0.0240 hsic=0.0221 pred=0.2604 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep28 | score=0.2808 AUC=0.7629 Acc=0.8541 F1=0.5467 PEHE=0.1095 dCATE=0.1791 Sens=0.1384 thr=0.57 feasible=0
[w/o HGNN (Teacher)] Epoch 30/45 | loss_total=1.0054 recon=0.0214 hsic=0.0224 pred=0.2408 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep32 | score=1003.5112 AUC=0.7267 Acc=0.8430 F1=0.5253 PEHE=0.1090 dCATE=0.1906 Sens=0.1175 thr=0.43 feasible=1
[w/o HGNN (Teacher)] Epoch 35/45 | loss_total=0.9407 recon=0.0201 hsic=0.0223 pred=0.2231 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep36 | score=1003.3730 AUC=0.6932 Acc=0.8129 F1=0.4940 PEHE=0.1053 dCATE=0.1846 Sens=0.0977 thr=0.17 feasible=1
[w/o HGNN (Teacher)] Val@Ep40 | score=1003.3143 AUC=0.6739 Acc=0.8085 F1=0.4850 PEHE=0.1039 dCATE=0.1890 Sens=0.1127 thr=0.16 feasible=1
[w/o HGNN (Teacher)] Epoch 40/45 | loss_total=0.8725 recon=0.0185 hsic=0.0225 pred=0.2064 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep44 | score=-2.5669 AUC=0.6689 Acc=0.8218 F1=0.5062 PEHE=0.1354 dCATE=0.1930 Sens=0.1373 thr=0.26 feasible=0
[w/o HGNN (Teacher)] Epoch 45/45 | loss_total=0.8069 recon=0.0162 hsic=0.0223 pred=0.1909 distill=0.0000
[w/o HGNN (Teacher)] Restored best checkpoint at epoch 8 (score=1003.8986, thr=0.30)
Training w/o HSIC teacher for dual distillation (Seed 43)
[w/o HSIC (Teacher)] Epoch 5/45 | loss_total=1.4663 recon=0.0466 hsic=0.0210 pred=0.3488 distill=0.0000
[w/o HSIC (Teacher)] Val@Ep8 | score=1003.8869 AUC=0.8132 Acc=0.8563 F1=0.6031 PEHE=0.0731 dCATE=0.1778 Sens=0.0112 thr=0.36 feasible=1
[w/o HSIC (Teacher)] Epoch 10/45 | loss_total=1.4160 recon=0.0171 hsic=0.0205 pred=0.3462 distill=0.0000
[w/o HSIC (Teacher)] Val@Ep12 | score=1003.8760 AUC=0.8146 Acc=0.8541 F1=0.6042 PEHE=0.0538 dCATE=0.1431 Sens=0.0159 thr=0.34 feasible=1
[w/o HSIC (Teacher)] Epoch 15/45 | loss_total=1.4040 recon=0.0122 hsic=0.0200 pred=0.3455 distill=0.0000
[w/o HSIC (Teacher)] Val@Ep16 | score=1003.8774 AUC=0.8107 Acc=0.8575 F1=0.6000 PEHE=0.0592 dCATE=0.1600 Sens=0.0169 thr=0.28 feasible=1
[w/o HSIC (Teacher)] Val@Ep20 | score=1003.8361 AUC=0.8077 Acc=0.8486 F1=0.5952 PEHE=0.1007 dCATE=0.2088 Sens=0.0231 thr=0.25 feasible=1
[w/o HSIC (Teacher)] Epoch 20/45 | loss_total=1.3778 recon=0.0113 hsic=0.0195 pred=0.3390 distill=0.0000
[w/o HSIC (Teacher)] Val@Ep24 | score=1003.8408 AUC=0.8094 Acc=0.8441 F1=0.5930 PEHE=0.0610 dCATE=0.1824 Sens=0.0271 thr=0.28 feasible=1
[w/o HSIC (Teacher)] Epoch 25/45 | loss_total=1.3497 recon=0.0086 hsic=0.0195 pred=0.3335 distill=0.0000
