=== DLC Final SOTA Runs (Phase 3) ===
[Config] tag=s_seed_44 d_hidden=128 num_layers=3 lambda_hsic=0.1 lambda_pred=3.5 lambda_ite=1.0 lambda_cate=2.0 lambda_prob=1.0 lambda_adv=0.5 lambda_sens=0.0 sens_eps_scale=0.0
[Seed] 44
Loading data...
Applying blacklist from data/PANCAN/pancan_leakage_blacklist.csv...
Filtered 513 leaked samples. Current: 8567
Aligning PANCAN features to LUAD feature space...
PANCAN aligned shape: (8567, 25)
PANCAN: (8567, 23), LUAD: (513, 23)
Scaler vars: min=0.030960266788788313, max=214.61184717252607

[Phase 1] Pre-training on PANCAN (200 epochs)...
  Ep 42: Loss 2.0551 | AUC 0.8108 | CATE 0.0605 | PEHE 0.0630 | Sens 0.0005
  Ep 43: Loss 2.1850 | AUC 0.8105 | CATE 0.0607 | PEHE 0.0625 | Sens 0.0005
  Ep 44: Loss 2.0329 | AUC 0.8101 | CATE 0.0615 | PEHE 0.0619 | Sens 0.0005
  Ep 45: Loss 2.0544 | AUC 0.8097 | CATE 0.0618 | PEHE 0.0613 | Sens 0.0005
  Ep 46: Loss 2.1448 | AUC 0.8105 | CATE 0.0627 | PEHE 0.0609 | Sens 0.0005
  Ep 47: Loss 2.1317 | AUC 0.8108 | CATE 0.0621 | PEHE 0.0609 | Sens 0.0005
  Ep 48: Loss 2.1483 | AUC 0.8108 | CATE 0.0613 | PEHE 0.0613 | Sens 0.0005
  Ep 49: Loss 2.0284 | AUC 0.8108 | CATE 0.0607 | PEHE 0.0622 | Sens 0.0005
  Ep 50: Loss 2.1370 | AUC 0.8116 | CATE 0.0605 | PEHE 0.0628 | Sens 0.0005
  Ep 51: Loss 2.1980 | AUC 0.8112 | CATE 0.0603 | PEHE 0.0623 | Sens 0.0005
  Ep 52: Loss 2.0170 | AUC 0.8116 | CATE 0.0599 | PEHE 0.0627 | Sens 0.0005
  Ep 53: Loss 2.0787 | AUC 0.8127 | CATE 0.0595 | PEHE 0.0636 | Sens 0.0005
  Ep 54: Loss 2.0035 | AUC 0.8127 | CATE 0.0598 | PEHE 0.0636 | Sens 0.0005
  Ep 55: Loss 2.1639 | AUC 0.8124 | CATE 0.0603 | PEHE 0.0634 | Sens 0.0005
  Ep 56: Loss 2.0177 | AUC 0.8120 | CATE 0.0614 | PEHE 0.0631 | Sens 0.0005
  Ep 57: Loss 2.1624 | AUC 0.8116 | CATE 0.0617 | PEHE 0.0626 | Sens 0.0005
  Ep 58: Loss 2.1224 | AUC 0.8112 | CATE 0.0617 | PEHE 0.0627 | Sens 0.0005
  Ep 59: Loss 2.1261 | AUC 0.8124 | CATE 0.0614 | PEHE 0.0634 | Sens 0.0005
  Ep 60: Loss 2.0923 | AUC 0.8131 | CATE 0.0611 | PEHE 0.0642 | Sens 0.0005
  Ep 61: Loss 2.1760 | AUC 0.8131 | CATE 0.0614 | PEHE 0.0645 | Sens 0.0005
  Ep 62: Loss 2.1825 | AUC 0.8135 | CATE 0.0618 | PEHE 0.0643 | Sens 0.0005
  Ep 63: Loss 2.1034 | AUC 0.8135 | CATE 0.0623 | PEHE 0.0639 | Sens 0.0005
  Ep 64: Loss 1.9956 | AUC 0.8131 | CATE 0.0624 | PEHE 0.0637 | Sens 0.0005
  Ep 65: Loss 2.1150 | AUC 0.8124 | CATE 0.0632 | PEHE 0.0626 | Sens 0.0005
  Ep 66: Loss 2.0135 | AUC 0.8116 | CATE 0.0639 | PEHE 0.0618 | Sens 0.0005
  Ep 67: Loss 2.0686 | AUC 0.8116 | CATE 0.0646 | PEHE 0.0613 | Sens 0.0005
  Ep 68: Loss 1.9893 | AUC 0.8116 | CATE 0.0653 | PEHE 0.0611 | Sens 0.0005
  Ep 69: Loss 2.2395 | AUC 0.8112 | CATE 0.0652 | PEHE 0.0614 | Sens 0.0005
  Ep 70: Loss 2.2116 | AUC 0.8116 | CATE 0.0645 | PEHE 0.0618 | Sens 0.0005
  Ep 71: Loss 2.0552 | AUC 0.8124 | CATE 0.0642 | PEHE 0.0626 | Sens 0.0005
  Ep 72: Loss 1.9841 | AUC 0.8131 | CATE 0.0633 | PEHE 0.0638 | Sens 0.0005
  Ep 73: Loss 2.1549 | AUC 0.8135 | CATE 0.0631 | PEHE 0.0644 | Sens 0.0005
  Ep 74: Loss 2.1011 | AUC 0.8139 | CATE 0.0628 | PEHE 0.0653 | Sens 0.0005
  Ep 75: Loss 2.1113 | AUC 0.8135 | CATE 0.0639 | PEHE 0.0647 | Sens 0.0005
  Ep 76: Loss 2.0407 | AUC 0.8127 | CATE 0.0648 | PEHE 0.0640 | Sens 0.0005
  Ep 77: Loss 2.0415 | AUC 0.8127 | CATE 0.0649 | PEHE 0.0639 | Sens 0.0005
  Ep 78: Loss 2.1094 | AUC 0.8124 | CATE 0.0656 | PEHE 0.0629 | Sens 0.0005
  Ep 79: Loss 2.0200 | AUC 0.8116 | CATE 0.0663 | PEHE 0.0626 | Sens 0.0005
  Ep 80: Loss 2.1063 | AUC 0.8120 | CATE 0.0663 | PEHE 0.0628 | Sens 0.0005
  Ep 81: Loss 1.9769 | AUC 0.8124 | CATE 0.0651 | PEHE 0.0635 | Sens 0.0005
  Ep 82: Loss 2.0899 | AUC 0.8116 | CATE 0.0643 | PEHE 0.0635 | Sens 0.0005
  Ep 83: Loss 2.0440 | AUC 0.8120 | CATE 0.0642 | PEHE 0.0635 | Sens 0.0005
  Ep 84: Loss 2.0686 | AUC 0.8116 | CATE 0.0631 | PEHE 0.0639 | Sens 0.0005
  Ep 85: Loss 2.0831 | AUC 0.8116 | CATE 0.0631 | PEHE 0.0640 | Sens 0.0005
  Ep 86: Loss 2.0806 | AUC 0.8116 | CATE 0.0635 | PEHE 0.0638 | Sens 0.0005
  Ep 87: Loss 2.1095 | AUC 0.8116 | CATE 0.0641 | PEHE 0.0632 | Sens 0.0005
  Ep 88: Loss 2.0475 | AUC 0.8116 | CATE 0.0640 | PEHE 0.0631 | Sens 0.0005
  Ep 89: Loss 2.0204 | AUC 0.8120 | CATE 0.0636 | PEHE 0.0629 | Sens 0.0005
  Ep 90: Loss 2.1184 | AUC 0.8120 | CATE 0.0630 | PEHE 0.0632 | Sens 0.0005
  Ep 91: Loss 2.0936 | AUC 0.8120 | CATE 0.0629 | PEHE 0.0633 | Sens 0.0005
  Ep 92: Loss 1.9684 | AUC 0.8116 | CATE 0.0635 | PEHE 0.0631 | Sens 0.0005
  Ep 93: Loss 2.1922 | AUC 0.8116 | CATE 0.0647 | PEHE 0.0627 | Sens 0.0005
  Ep 94: Loss 2.0461 | AUC 0.8116 | CATE 0.0660 | PEHE 0.0626 | Sens 0.0005
  Ep 95: Loss 2.1018 | AUC 0.8112 | CATE 0.0685 | PEHE 0.0620 | Sens 0.0005
  Ep 96: Loss 2.0578 | AUC 0.8116 | CATE 0.0694 | PEHE 0.0622 | Sens 0.0006
  Ep 97: Loss 2.0193 | AUC 0.8112 | CATE 0.0685 | PEHE 0.0628 | Sens 0.0005
  Ep 98: Loss 2.0850 | AUC 0.8116 | CATE 0.0672 | PEHE 0.0637 | Sens 0.0005
  Ep 99: Loss 1.9527 | AUC 0.8105 | CATE 0.0658 | PEHE 0.0650 | Sens 0.0005
  Ep 100: Loss 2.2561 | AUC 0.8097 | CATE 0.0649 | PEHE 0.0662 | Sens 0.0005

=== Final SOTA Results ===
{
    "AUC": 0.8073989321128909,
    "ACC": 0.7475728155339806,
    "F1": 0.7045454545454546,
    "PEHE": 0.06888214342696898,
    "Delta_CATE": 0.10154949873685837,
    "Sens_Age": 0.0006401267019100487
}
Report saved to results/final_sota_report_s_seed_44.md
