=== DLC Final SOTA Runs (Phase 3) ===
[Config] tag=p_seed_45 d_hidden=128 num_layers=4 lambda_hsic=0.1 lambda_pred=2.0 lambda_ite=1.0 lambda_cate=2.0 lambda_prob=1.0 lambda_adv=0.5 lambda_sens=0.0 sens_eps_scale=0.0
[Seed] 45
Loading data...
Applying blacklist from data/PANCAN/pancan_leakage_blacklist.csv...
Filtered 513 leaked samples. Current: 8567
Aligning PANCAN features to LUAD feature space...
PANCAN aligned shape: (8567, 25)
PANCAN: (8567, 23), LUAD: (513, 23)
Scaler vars: min=0.030960266788788313, max=214.61184717252607

[Phase 1] Pre-training on PANCAN (130 epochs)...
  Ep 29: Loss 1.5410 | AUC 0.8528 | CATE 0.0585 | PEHE 0.0798 | Sens 0.0003
  Ep 30: Loss 1.4984 | AUC 0.8528 | CATE 0.0593 | PEHE 0.0795 | Sens 0.0003
  Ep 31: Loss 1.5997 | AUC 0.8547 | CATE 0.0597 | PEHE 0.0789 | Sens 0.0003
  Ep 32: Loss 1.5618 | AUC 0.8551 | CATE 0.0606 | PEHE 0.0784 | Sens 0.0003
  Ep 33: Loss 1.4590 | AUC 0.8539 | CATE 0.0627 | PEHE 0.0785 | Sens 0.0003
  Ep 34: Loss 1.5640 | AUC 0.8539 | CATE 0.0641 | PEHE 0.0788 | Sens 0.0003
  Ep 35: Loss 1.5496 | AUC 0.8547 | CATE 0.0646 | PEHE 0.0791 | Sens 0.0003
  Ep 36: Loss 1.4688 | AUC 0.8543 | CATE 0.0657 | PEHE 0.0794 | Sens 0.0003
  Ep 37: Loss 1.5449 | AUC 0.8543 | CATE 0.0658 | PEHE 0.0796 | Sens 0.0003
  Ep 38: Loss 1.5723 | AUC 0.8547 | CATE 0.0657 | PEHE 0.0799 | Sens 0.0003
  Ep 39: Loss 1.4848 | AUC 0.8543 | CATE 0.0651 | PEHE 0.0802 | Sens 0.0003
  Ep 40: Loss 1.5750 | AUC 0.8547 | CATE 0.0652 | PEHE 0.0801 | Sens 0.0003
  Ep 41: Loss 1.4875 | AUC 0.8547 | CATE 0.0661 | PEHE 0.0803 | Sens 0.0003
  Ep 42: Loss 1.5040 | AUC 0.8539 | CATE 0.0668 | PEHE 0.0805 | Sens 0.0003
  Ep 43: Loss 1.5063 | AUC 0.8535 | CATE 0.0703 | PEHE 0.0803 | Sens 0.0003
