[num_layers=3/seed=44] Epoch 7/20 | loss_total=0.3580 recon=0.0059 hsic=0.0200 pred=0.3501
[num_layers=3/seed=44] Epoch 8/20 | loss_total=0.3574 recon=0.0058 hsic=0.0198 pred=0.3497
[num_layers=3/seed=44] Epoch 9/20 | loss_total=0.3553 recon=0.0059 hsic=0.0196 pred=0.3475
[num_layers=3/seed=44] Epoch 10/20 | loss_total=0.3552 recon=0.0051 hsic=0.0194 pred=0.3481
[num_layers=3/seed=44] Epoch 11/20 | loss_total=0.3524 recon=0.0047 hsic=0.0192 pred=0.3458
[num_layers=3/seed=44] Epoch 12/20 | loss_total=0.3546 recon=0.0048 hsic=0.0189 pred=0.3480
[num_layers=3/seed=44] Epoch 13/20 | loss_total=0.3514 recon=0.0047 hsic=0.0188 pred=0.3448
[num_layers=3/seed=44] Epoch 14/20 | loss_total=0.3522 recon=0.0054 hsic=0.0185 pred=0.3449
[num_layers=3/seed=44] Epoch 15/20 | loss_total=0.3509 recon=0.0044 hsic=0.0184 pred=0.3447
[num_layers=3/seed=44] Epoch 16/20 | loss_total=0.3502 recon=0.0042 hsic=0.0182 pred=0.3442
[num_layers=3/seed=44] Epoch 17/20 | loss_total=0.3496 recon=0.0040 hsic=0.0179 pred=0.3438
[num_layers=3/seed=44] Epoch 18/20 | loss_total=0.3487 recon=0.0045 hsic=0.0177 pred=0.3424
[num_layers=3/seed=44] Epoch 19/20 | loss_total=0.3499 recon=0.0045 hsic=0.0175 pred=0.3437
[num_layers=3/seed=44] Epoch 20/20 | loss_total=0.3474 recon=0.0044 hsic=0.0171 pred=0.3413
[num_layers=4/seed=42] Epoch 1/20 | loss_total=0.9907 recon=0.6042 hsic=0.0168 pred=0.3848
[num_layers=4/seed=42] Epoch 2/20 | loss_total=0.4323 recon=0.0788 hsic=0.0199 pred=0.3516
[num_layers=4/seed=42] Epoch 3/20 | loss_total=0.3703 recon=0.0159 hsic=0.0204 pred=0.3524
[num_layers=4/seed=42] Epoch 4/20 | loss_total=0.3653 recon=0.0103 hsic=0.0204 pred=0.3529
[num_layers=4/seed=42] Epoch 5/20 | loss_total=0.3607 recon=0.0078 hsic=0.0202 pred=0.3509
[num_layers=4/seed=42] Epoch 6/20 | loss_total=0.3576 recon=0.0066 hsic=0.0202 pred=0.3490
[num_layers=4/seed=42] Epoch 7/20 | loss_total=0.3559 recon=0.0059 hsic=0.0200 pred=0.3480
[num_layers=4/seed=42] Epoch 8/20 | loss_total=0.3562 recon=0.0056 hsic=0.0199 pred=0.3486
[num_layers=4/seed=42] Epoch 9/20 | loss_total=0.3555 recon=0.0049 hsic=0.0198 pred=0.3486
[num_layers=4/seed=42] Epoch 10/20 | loss_total=0.3561 recon=0.0053 hsic=0.0198 pred=0.3488
[num_layers=4/seed=42] Epoch 11/20 | loss_total=0.3519 recon=0.0046 hsic=0.0196 pred=0.3453
[num_layers=4/seed=42] Epoch 12/20 | loss_total=0.3537 recon=0.0047 hsic=0.0193 pred=0.3470
[num_layers=4/seed=42] Epoch 13/20 | loss_total=0.3523 recon=0.0043 hsic=0.0193 pred=0.3460
[num_layers=4/seed=42] Epoch 14/20 | loss_total=0.3526 recon=0.0040 hsic=0.0191 pred=0.3467
[num_layers=4/seed=42] Epoch 15/20 | loss_total=0.3503 recon=0.0042 hsic=0.0191 pred=0.3442
[num_layers=4/seed=42] Epoch 16/20 | loss_total=0.3502 recon=0.0040 hsic=0.0189 pred=0.3443
[num_layers=4/seed=42] Epoch 17/20 | loss_total=0.3495 recon=0.0043 hsic=0.0187 pred=0.3433
[num_layers=4/seed=42] Epoch 18/20 | loss_total=0.3503 recon=0.0043 hsic=0.0186 pred=0.3442
[num_layers=4/seed=42] Epoch 19/20 | loss_total=0.3469 recon=0.0041 hsic=0.0186 pred=0.3410
[num_layers=4/seed=42] Epoch 20/20 | loss_total=0.3465 recon=0.0043 hsic=0.0185 pred=0.3403
[num_layers=4/seed=43] Epoch 1/20 | loss_total=0.9907 recon=0.6042 hsic=0.0168 pred=0.3848
[num_layers=4/seed=43] Epoch 2/20 | loss_total=0.4323 recon=0.0788 hsic=0.0199 pred=0.3516
[num_layers=4/seed=43] Epoch 3/20 | loss_total=0.3703 recon=0.0159 hsic=0.0204 pred=0.3524
[num_layers=4/seed=43] Epoch 4/20 | loss_total=0.3653 recon=0.0103 hsic=0.0204 pred=0.3529
[num_layers=4/seed=43] Epoch 5/20 | loss_total=0.3607 recon=0.0078 hsic=0.0202 pred=0.3509
[num_layers=4/seed=43] Epoch 6/20 | loss_total=0.3576 recon=0.0066 hsic=0.0202 pred=0.3490
[num_layers=4/seed=43] Epoch 7/20 | loss_total=0.3559 recon=0.0059 hsic=0.0200 pred=0.3480
[num_layers=4/seed=43] Epoch 8/20 | loss_total=0.3562 recon=0.0056 hsic=0.0199 pred=0.3486
[num_layers=4/seed=43] Epoch 9/20 | loss_total=0.3555 recon=0.0049 hsic=0.0198 pred=0.3486
[num_layers=4/seed=43] Epoch 10/20 | loss_total=0.3561 recon=0.0053 hsic=0.0198 pred=0.3488
[num_layers=4/seed=43] Epoch 11/20 | loss_total=0.3519 recon=0.0046 hsic=0.0196 pred=0.3453
[num_layers=4/seed=43] Epoch 12/20 | loss_total=0.3537 recon=0.0047 hsic=0.0193 pred=0.3470
[num_layers=4/seed=43] Epoch 13/20 | loss_total=0.3523 recon=0.0043 hsic=0.0193 pred=0.3460
[num_layers=4/seed=43] Epoch 14/20 | loss_total=0.3526 recon=0.0040 hsic=0.0191 pred=0.3467
[num_layers=4/seed=43] Epoch 15/20 | loss_total=0.3503 recon=0.0042 hsic=0.0191 pred=0.3442
[num_layers=4/seed=43] Epoch 16/20 | loss_total=0.3502 recon=0.0040 hsic=0.0189 pred=0.3443
[num_layers=4/seed=43] Epoch 17/20 | loss_total=0.3495 recon=0.0043 hsic=0.0187 pred=0.3433
[num_layers=4/seed=43] Epoch 18/20 | loss_total=0.3503 recon=0.0043 hsic=0.0186 pred=0.3442
[num_layers=4/seed=43] Epoch 19/20 | loss_total=0.3469 recon=0.0041 hsic=0.0186 pred=0.3410
[num_layers=4/seed=43] Epoch 20/20 | loss_total=0.3465 recon=0.0043 hsic=0.0185 pred=0.3403
[num_layers=4/seed=44] Epoch 1/20 | loss_total=0.9907 recon=0.6042 hsic=0.0168 pred=0.3848
[num_layers=4/seed=44] Epoch 2/20 | loss_total=0.4323 recon=0.0788 hsic=0.0199 pred=0.3516
[num_layers=4/seed=44] Epoch 3/20 | loss_total=0.3703 recon=0.0159 hsic=0.0204 pred=0.3524
[num_layers=4/seed=44] Epoch 4/20 | loss_total=0.3653 recon=0.0103 hsic=0.0204 pred=0.3529
[num_layers=4/seed=44] Epoch 5/20 | loss_total=0.3607 recon=0.0078 hsic=0.0202 pred=0.3509
[num_layers=4/seed=44] Epoch 6/20 | loss_total=0.3576 recon=0.0066 hsic=0.0202 pred=0.3490
[num_layers=4/seed=44] Epoch 7/20 | loss_total=0.3559 recon=0.0059 hsic=0.0200 pred=0.3480
[num_layers=4/seed=44] Epoch 8/20 | loss_total=0.3562 recon=0.0056 hsic=0.0199 pred=0.3486
[num_layers=4/seed=44] Epoch 9/20 | loss_total=0.3555 recon=0.0049 hsic=0.0198 pred=0.3486
[num_layers=4/seed=44] Epoch 10/20 | loss_total=0.3561 recon=0.0053 hsic=0.0198 pred=0.3488
[num_layers=4/seed=44] Epoch 11/20 | loss_total=0.3519 recon=0.0046 hsic=0.0196 pred=0.3453
[num_layers=4/seed=44] Epoch 12/20 | loss_total=0.3537 recon=0.0047 hsic=0.0193 pred=0.3470
[num_layers=4/seed=44] Epoch 13/20 | loss_total=0.3523 recon=0.0043 hsic=0.0193 pred=0.3460
[num_layers=4/seed=44] Epoch 14/20 | loss_total=0.3526 recon=0.0040 hsic=0.0191 pred=0.3467
[num_layers=4/seed=44] Epoch 15/20 | loss_total=0.3503 recon=0.0042 hsic=0.0191 pred=0.3442
[num_layers=4/seed=44] Epoch 16/20 | loss_total=0.3502 recon=0.0040 hsic=0.0189 pred=0.3443
[num_layers=4/seed=44] Epoch 17/20 | loss_total=0.3495 recon=0.0043 hsic=0.0187 pred=0.3433
[num_layers=4/seed=44] Epoch 18/20 | loss_total=0.3503 recon=0.0043 hsic=0.0186 pred=0.3442
[num_layers=4/seed=44] Epoch 19/20 | loss_total=0.3469 recon=0.0041 hsic=0.0186 pred=0.3410
[num_layers=4/seed=44] Epoch 20/20 | loss_total=0.3465 recon=0.0043 hsic=0.0185 pred=0.3403
[num_layers=5/seed=42] Epoch 1/20 | loss_total=0.9746 recon=0.5886 hsic=0.0168 pred=0.3843
